BHK,Rent,Size,Area Locality,City,Furnishing Status,Tenant Preferred,Bathroom
3,90000,1110,"Omkar Alta Monte, Kurar Village",Mumbai,Furnished,Bachelors/Family,3
2,62000,650,Jacob Circle,Mumbai,Unfurnished,Family,2
3,80000,1100,"Godrej Central, Chembur",Mumbai,Unfurnished,Bachelors/Family,3
3,80000,1110,"Omkar Alta Monte, Kurar Village",Mumbai,Semi-Furnished,Bachelors/Family,3
3,55000,999,"Orchid Residency, Link Road",Mumbai,Semi-Furnished,Family,2
3,100000,1000,Santacruz West,Mumbai,Furnished,Bachelors/Family,3
3,100000,1256,"Satyam Springs, Deonar",Mumbai,Furnished,Family,3
2,79500,750,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Semi-Furnished,Family,2
3,84500,889,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Semi-Furnished,Bachelors/Family,2
2,100000,750,"Hiranandani Atlantis, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,2
1,13000,385,"Aims Sea View, Indralok",Mumbai,Unfurnished,Family,1
4,100000,1454,"diamond garden, Chembur East",Mumbai,Unfurnished,Bachelors/Family,4
1,35000,480,Seven Bungalows,Mumbai,Semi-Furnished,Family,2
2,72000,660,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,2
1,26000,434,"Samarth Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2
3,72000,1121,"Hari Kunj II, Sindhi Society Chembur",Mumbai,Unfurnished,Bachelors/Family,3
1,8000,620,Virar,Mumbai,Semi-Furnished,Bachelors/Family,2
1,52000,470,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,13000,410,Mira Road East,Mumbai,Unfurnished,Family,1
3,45000,850,Mulund West,Mumbai,Unfurnished,Family,3
2,63000,888,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Furnished,Bachelors/Family,2
1,7500,380,sunanda circal,Mumbai,Unfurnished,Bachelors,2
1,30000,360,"Antop Hill, Wadala",Mumbai,Unfurnished,Bachelors/Family,1
1,28500,565,Kandivali East,Mumbai,Furnished,Bachelors/Family,2
3,100000,2000,"Auris Serenity, Malad West",Mumbai,Semi-Furnished,Bachelors/Family,4
2,38000,661,"Runwal Forests, Kanjurmarg West",Mumbai,Semi-Furnished,Bachelors/Family,2
1,26000,450,"Ratan Silicon Park, Jankalyan Nagar",Mumbai,Unfurnished,Family,2
3,70000,1300,Goregaon West,Mumbai,Unfurnished,Bachelors,3
2,41000,600,"Vasant Oscar, Mulund West",Mumbai,Furnished,Family,2
2,27000,900,Mahatama Gandhi Road,Mumbai,Semi-Furnished,Bachelors/Family,3
1,53000,379,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,Bachelors,1
2,65000,805,"Auris Serenity, Kanch Pada",Mumbai,Semi-Furnished,Family,3
1,85000,650,Malabar Hill,Mumbai,Furnished,Bachelors/Family,2
1,6000,500,Naigaon East,Mumbai,Semi-Furnished,Bachelors/Family,2
1,43000,480,Seven Bungalows,Mumbai,Furnished,Family,2
2,65000,550,"Dr Babasaheb Ambedkar Road, Mumbai",Mumbai,Semi-Furnished,Bachelors/Family,2
3,98000,1400,"Hubtown Sunmist, Chakala",Mumbai,Semi-Furnished,Family,2
3,65000,1050,"Alpine, Kandivali East",Mumbai,Unfurnished,Bachelors,3
3,85000,920,Ghatkopar East,Mumbai,Unfurnished,Family,3
1,40000,450,"Ajmera Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,1
1,23000,440,in Kandivali West,Mumbai,Semi-Furnished,Bachelors,1
3,55000,932,Ghatkopar West,Mumbai,Unfurnished,Bachelors/Family,3
1,15000,270,chakala andheri east,Mumbai,Unfurnished,Bachelors,2
1,52000,379,"Hiranandani Regent Hill, Powai",Mumbai,Semi-Furnished,Bachelors,2
2,13000,582,Lodha casa rio,Mumbai,Furnished,Family,2
2,95000,800,"Pali Hill Apartment, Pali Hill",Mumbai,Semi-Furnished,Bachelors/Family,2
1,25000,444,"Srishti Solitaire, Bhandup Industrial Estate",Mumbai,Unfurnished,Bachelors/Family,2
1,21000,428,"Godrej Tranquil, Lokhandwala Twp",Mumbai,Unfurnished,Bachelors/Family,1
2,60000,888,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2
1,19000,490,Bhandup East,Mumbai,Unfurnished,Bachelors/Family,1
2,30000,710,"Gokul Gagan, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,2
2,80000,836,"TATA Falcon Crest, Parel",Mumbai,Unfurnished,Bachelors/Family,2
2,85000,1200,"Crescent Bay T3, Bhoiwada",Mumbai,Semi-Furnished,Bachelors/Family,3
2,65000,950,"Vishnu Shivam Tower, Thakur Village, Kandivali East",Mumbai,Furnished,Bachelors/Family,2
1,33000,460,"Conwood Astoria, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,36000,585,"Odyssey Bhakti Park, Bhakti Park",Mumbai,Semi-Furnished,Bachelors/Family,2
2,22000,550,"Salasar Garden, Beverly Park",Mumbai,Furnished,Family,2
1,17000,375,"Royal Palms Diamond Isle Phase II, Aarey Milk Colony",Mumbai,Unfurnished,Bachelors/Family,1
2,55000,700,"Raj Legacy, Vikhroli West",Mumbai,Furnished,Bachelors/Family,2
2,66000,750,"Sundar Nagar, Kalina",Mumbai,Unfurnished,Family,2
2,32000,750,"Shree Sai Usha Complex, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2
2,45000,730,"Raheja Heights, Malad East",Mumbai,Unfurnished,Family,2
2,50000,750,"Hillcrest, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,18500,229,Vile Parle,Mumbai,Semi-Furnished,Bachelors/Family,1
2,51000,910,"Rivali Park, Borivali East",Mumbai,Unfurnished,Bachelors,2
3,80000,1100,"Alpine Shapoorji Pallonji, Thakur Village, Kandivali East",Mumbai,Unfurnished,Family,3
1,30000,560,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2
2,85000,850,Andheri West,Mumbai,Unfurnished,Bachelors/Family,2
1,15000,450,Dahisar East,Mumbai,Unfurnished,Family,1
2,50000,820,"Raheja Heights, BMC Colony Malad East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,60000,750,"Tridhaatu Bhaveshwar Vilas, Central Avenue Road",Mumbai,Unfurnished,Bachelors/Family,2
1,23000,410,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1
1,14500,490,Ketki Pada,Mumbai,Unfurnished,Bachelors/Family,2
2,40000,700,Collector Colony,Mumbai,Unfurnished,Bachelors/Family,2
1,80000,560,Waterfield Road,Mumbai,Furnished,Bachelors/Family,1
2,55000,650,"White Lily Apartment, Bhandup East",Mumbai,Unfurnished,Bachelors/Family,2
1,12000,520,in Mira Road,Mumbai,Semi-Furnished,Bachelors/Family,1
2,45000,850,"Eco Residency, Andheri East",Mumbai,Unfurnished,Bachelors/Family,2
2,90000,777,"Hiranandani Castle Rock, Hiranandani Gardens",Mumbai,Furnished,Bachelors/Family,2
2,43000,771,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2
1,22000,400,"Midas Enclave CHS , Nandiadwala Colony",Mumbai,Unfurnished,Bachelors/Family,1
2,20000,600,"Marigold-5, Beverly Park",Mumbai,Furnished,Family,2
1,26000,390,"Greenfields CHS, Andheri East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,34999,450,"HDIL Premier Residences, Kurla West",Mumbai,Furnished,Bachelors/Family,2
1,35000,500,Powai,Mumbai,Semi-Furnished,Bachelors/Family,2
1,50000,410,Dadar East,Mumbai,Semi-Furnished,Bachelors/Family,1
1,16000,160,Lal Baug,Mumbai,Unfurnished,Bachelors/Family,1
2,55000,750,Chandivali,Mumbai,Unfurnished,Bachelors/Family,2
1,39000,585,"Chanchal Kalyan Complex, Yari Road",Mumbai,Unfurnished,Family,2
3,100000,1300,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Family,3
1,25000,350,Ghatla,Mumbai,Furnished,Bachelors/Family,1
1,25000,490,Kandivali East,Mumbai,Semi-Furnished,Bachelors/Family,2
2,49500,650,Juhu Versova Link Road,Mumbai,Unfurnished,Family,2
1,21000,225,Lower Parel,Mumbai,Unfurnished,Bachelors/Family,1
1,21000,385,in Santacruz East,Mumbai,Unfurnished,Bachelors/Family,1
2,46700,800,"Milap CHS, Seven Bungalows",Mumbai,Unfurnished,Family,2
1,18000,300,Kurla West,Mumbai,Unfurnished,Bachelors/Family,1
3,80000,1800,"Sabari Palm View, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,3
2,88000,800,"Kanakia Paris, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2
3,90000,890,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,Family,2
2,38000,700,"Sky Villa, Gokuldham",Mumbai,Unfurnished,Bachelors/Family,2
1,20000,465,in Borivali East,Mumbai,Semi-Furnished,Bachelors,1
3,78000,1073,"Raheja Ridgewood, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,3
1,21000,450,Chembur,Mumbai,Unfurnished,Bachelors/Family,1
3,95000,1350,"Rajesh Raj Classic, Yari Road",Mumbai,Furnished,Bachelors/Family,3
2,90000,800,"Band Stand, Bandra Band Stand",Mumbai,Furnished,Bachelors/Family,2
2,34000,600,"Shiv Dham Apartment, Goregaon East",Mumbai,Unfurnished,Bachelors,2
2,55000,650,Sion Trombay Road,Mumbai,Unfurnished,Bachelors/Family,2
2,52000,550,Dadar East,Mumbai,Furnished,Bachelors,2
1,74999,840,"Celestia Spaces, Balkrishna Dadu Karade Chowk",Mumbai,Unfurnished,Bachelors/Family,2
3,75000,1121,"DB Woods, Gokuldham",Mumbai,Furnished,Bachelors/Family,2
2,45000,650,"Swastik Pride, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2
1,22000,575,Kanjurmarg East,Mumbai,Unfurnished,Bachelors/Family,1
1,32000,475,Andheri East,Mumbai,Furnished,Bachelors/Family,1
2,34000,830,"Indraprastha CHS, Bhayandar East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,23000,420,"Spring Leaf, Lokhandwala Twp",Mumbai,Semi-Furnished,Bachelors/Family,2
1,20000,310,Malad West,Mumbai,Unfurnished,Bachelors,1
3,90000,967,"Romell Aether, Goregaon East",Mumbai,Furnished,Bachelors/Family,3
1,55000,505,"Godrej The Trees, Vikhroli East",Mumbai,Semi-Furnished,Bachelors/Family,1
1,15000,275,Borivali East,Mumbai,Unfurnished,Bachelors/Family,1
2,22000,640,Mahajan Wadi,Mumbai,Semi-Furnished,Family,2
3,60000,1500,Film City,Mumbai,Semi-Furnished,Bachelors/Family,3
2,49000,850,"Lakshchandi Height, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,34000,900,"Challenger Tower, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,24000,430,"Bhoomi Elegant, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2
3,69000,1100,Chandivali,Mumbai,Unfurnished,Bachelors/Family,3
2,32000,680,"Galassia, Kandarpada",Mumbai,Unfurnished,Family,2
2,24000,600,Charkop,Mumbai,Semi-Furnished,Bachelors,2
4,100000,1560,"diamond garden, Chembur",Mumbai,Unfurnished,Bachelors/Family,4
2,45000,771,"Kalpataru Crest, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2
2,80000,800,"Hiranandani Castle Rock, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2
2,37000,800,"Mayuresh Srishti, Bhandup West",Mumbai,Semi-Furnished,Bachelors,2
1,25000,475,Ghatkopar East,Mumbai,Unfurnished,Bachelors,2
1,26000,650,Srinagarchs chembur west near sankralyammandir,Mumbai,Semi-Furnished,Bachelors/Family,1
2,27000,600,"Royal Palms, Goregaon East",Mumbai,Unfurnished,Bachelors,2
1,26000,649,"Uttam Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1
2,60000,950,"Green Woods Chkala, Andheri East",Mumbai,Furnished,Bachelors,2
1,12000,225,Ashok Van,Mumbai,Unfurnished,Family,1
1,30000,330,Malad East,Mumbai,Furnished,Family,1
3,100000,1200,Khar West,Mumbai,Furnished,Bachelors/Family,3
3,70000,920,"Safal Twins, Chembur",Mumbai,Unfurnished,Bachelors/Family,3
2,20000,630,"SK Imperial Heights, Mira Road East",Mumbai,Unfurnished,Family,2
2,22000,670,"Prathamesh Heritage, Beverly Park",Mumbai,Furnished,Family,2
1,32000,450,Andheri West,Mumbai,Furnished,Bachelors/Family,1
1,20000,265,Mazgaon,Mumbai,Unfurnished,Bachelors/Family,1
2,50000,600,"K Raheja Maple Leaf, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2
2,29000,670,Amar Nagar,Mumbai,Unfurnished,Family,2
2,45000,650,Chandivali,Mumbai,Semi-Furnished,Bachelors/Family,2
1,6500,422,Nalasopara West,Mumbai,Semi-Furnished,Family,2
2,55000,955,"MJ Shah Centrio, Chembur",Mumbai,Unfurnished,Bachelors/Family,2
3,69999,1100,Kurla,Mumbai,Furnished,Bachelors/Family,3
1,18500,300,JL Tambe Nagar,Mumbai,Unfurnished,Bachelors,1
2,50000,900,"Dheeraj Valley Tower, Goregaon East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,45000,785,Chakala,Mumbai,Unfurnished,Bachelors,2
3,85000,1350,"HDIL Metropolis, 4 Bunglows",Mumbai,Furnished,Family,3
2,85000,900,"Ruparel Ariana, Parel",Mumbai,Semi-Furnished,Bachelors/Family,2
1,25000,400,Worli,Mumbai,Unfurnished,Bachelors,1
2,75000,800,"Sethia Grandeur, Bandra East",Mumbai,Semi-Furnished,Bachelors,3
1,20000,625,Dahisar East,Mumbai,Semi-Furnished,Bachelors/Family,1
2,30000,720,"Samarth Garden, Bhandup West",Mumbai,Semi-Furnished,Bachelors/Family,2
2,75000,750,"Utkarsh CHS, Prabhadevi",Mumbai,Furnished,Bachelors/Family,2
2,70000,660,Azad Nagar Colaba,Mumbai,Semi-Furnished,Bachelors/Family,2
2,32000,700,"MUKTA MAHEK, Thakur Complex",Mumbai,Furnished,Bachelors/Family,2
1,22000,377,"Srishti Elegance, Bhandup West",Mumbai,Unfurnished,Bachelors/Family,2
2,35000,650,Thakur Complex,Mumbai,Semi-Furnished,Family,2
2,47000,650,"117 Residency, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2
2,31000,700,"Sai Aasha Daya, Mulund East",Mumbai,Semi-Furnished,Bachelors/Family,2
1,60000,430,Bandra West,Mumbai,Furnished,Bachelors/Family,1
2,58000,650,"L&T Emerald Isle, Powai",Mumbai,Unfurnished,Family,2
3,85000,890,"Oberoi Splendor, JVLR-Jogeshwari Vikhroli Link Road",Mumbai,Furnished,Bachelors/Family,2
2,45000,965,Bhakti Park,Mumbai,Unfurnished,Bachelors/Family,2
1,7500,630,"Sumit Greendale, Chikhal Dongari",Mumbai,Semi-Furnished,Bachelors/Family,2
2,80000,730,Perry Rd,Mumbai,Semi-Furnished,Bachelors/Family,2
3,75000,1380,"Thakur Jewel, Thakur Village, Kandivali East",Mumbai,Semi-Furnished,Bachelors/Family,3
3,66000,1100,"Shapoorji Pallonji Vicinia, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,3
1,45000,450,Mahim West,Mumbai,Semi-Furnished,Bachelors,1
1,22000,500,"Madhugiri Society, Chembur",Mumbai,Unfurnished,Bachelors/Family,1
3,65000,1100,"Raheja Heights, Malad East",Mumbai,Semi-Furnished,Bachelors,3
3,55000,868,"Orchid Suburbia, Bander Pakhadi",Mumbai,Unfurnished,Family,3
2,55000,750,"Omkar Meridia, Bandra Kurla Complex",Mumbai,Semi-Furnished,Bachelors/Family,2
1,36000,540,in Mahim West,Mumbai,Unfurnished,Bachelors/Family,2
1,22000,450,Charkop Sector 6,Mumbai,Semi-Furnished,Family,2
1,34000,560,Serenity Complex,Mumbai,Semi-Furnished,Bachelors,2
1,45000,500,"Irla, Vile Parle West",Mumbai,Unfurnished,Bachelors,1
1,14000,305,Kandivali West,Mumbai,Unfurnished,Bachelors/Family,1
3,75000,970,"Paras Building, Sion East",Mumbai,Furnished,Bachelors/Family,2
1,7000,480,Taloja Phase 2,Mumbai,Unfurnished,Bachelors/Family,1
2,55000,720,"diamond garden, Chembur East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,55000,950,"Valentine Apartments, Gokuldham",Mumbai,Semi-Furnished,Family,2
2,42000,774,"Lokhandwala Octacrest, Lokhandwala Twp",Mumbai,Semi-Furnished,Family,2
1,27000,450,Andheri West,Mumbai,Unfurnished,Family,1
3,60000,1000,Malad West,Mumbai,Semi-Furnished,Bachelors,3
1,17000,340,Goregaon East,Mumbai,Semi-Furnished,Bachelors/Family,1
1,30000,430,"Sindhi Society, Chembur",Mumbai,Semi-Furnished,Bachelors/Family,2
2,45000,722,"Alpine Apartments, Chembur East",Mumbai,Unfurnished,Bachelors/Family,2
3,90000,1152,"Kabra Metro One, Seven Bungalows",Mumbai,Furnished,Bachelors/Family,2
1,25000,641,Borivali West,Mumbai,Unfurnished,Bachelors/Family,1
2,70000,810,"Vintage Pearl Apartment, Bandra West",Mumbai,Furnished,Bachelors/Family,2
2,90000,800,Vile Parle West,Mumbai,Furnished,Family,2
2,20000,700,"Man Opus, Mira Road",Mumbai,Unfurnished,Family,2
1,35000,420,in Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,1
3,80000,1400,Ghatkopar,Mumbai,Furnished,Bachelors/Family,3
2,54500,758,"L&T Emerald Isle, Chandivali",Mumbai,Semi-Furnished,Bachelors/Family,2
1,45000,480,Seven Bungalows,Mumbai,Furnished,Bachelors/Family,2
1,38000,550,Sion East,Mumbai,Unfurnished,Bachelors,2
2,90000,900,"Lodha Venezia, Parel",Mumbai,Semi-Furnished,Bachelors,2
1,22000,400,Bhoiwada,Mumbai,Unfurnished,Bachelors/Family,1
2,70000,760,"L&T Emerald Isle, Powai",Mumbai,Semi-Furnished,Bachelors/Family,2
1,50000,400,"Hiranandani Regent Hill, Hiranandani Gardens",Mumbai,Semi-Furnished,Bachelors/Family,1
2,40000,800,in Borivali West,Mumbai,Semi-Furnished,Bachelors/Family,2
2,32000,590,"Saaga Mrunali CHS, Shantivan",Mumbai,Unfurnished,Family,2
2,78000,600,Andheri West,Mumbai,Semi-Furnished,Bachelors/Family,2
2,45000,670,Chembur,Mumbai,Unfurnished,Bachelors/Family,2
2,65000,960,"Dosti Ambrosia, Wadala East",Mumbai,Semi-Furnished,Bachelors/Family,2
2,65000,1500,in Sion,Mumbai,Semi-Furnished,Bachelors/Family,3
1,35000,500,Ghatkopar West,Mumbai,Semi-Furnished,Bachelors/Family,1
3,90000,1120,"DB Woods, Gokuldham",Mumbai,Furnished,Family,2
3,70000,3354,Talagatta Pura,Bangalore,Furnished,Bachelors/Family,3
2,10500,800,Nagappa Reddy layout-Dooravani Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2
2,13000,1000,"Kattigenahalli, Bellary Road",Bangalore,Semi-Furnished,Bachelors/Family,2
2,17000,1040,C V Raman Nagar,Bangalore,Furnished,Bachelors/Family,2
3,21000,1403,"Chikkalasandra, Bangalore",Bangalore,Semi-Furnished,Bachelors/Family,3
2,10000,600,Talaghattapura,Bangalore,Furnished,Bachelors/Family,1
4,61500,2608,Malleshwaram,Bangalore,Semi-Furnished,Bachelors,3
2,13000,850,"Ramaiah Layout, Kacharakanahalli",Bangalore,Semi-Furnished,Family,2
1,7500,400,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1
2,17000,1000,Padmanabha Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2
3,25000,1350,Kengeri Main Road,Bangalore,Semi-Furnished,Bachelors,3
2,10500,800,Ramamurthy Nagar,Bangalore,Semi-Furnished,Bachelors/Family,2
1,8000,350,Thanisandra,Bangalore,Semi-Furnished,Bachelors/Family,1
1,9500,900,J P Nagar,Bangalore,Semi-Furnished,Bachelors/Family,1
3,50000,2000,Bannerghatta Main Road,Bangalore,Semi-Furnished,Bachelors/Family,3
2,13000,700,"Vinayakanagar, Hebbal",Bangalore,Semi-Furnished,Bachelors/Family,2
1,13500,600,venkatapuram,Bangalore,Semi-Furnished,Bachelors/Family,1
2,13000,700,"Vv Nagar, Bikasipura",Bangalore,Semi-Furnished,Bachelors/Family,1
1,15000,600,C V Raman Nagar,Bangalore,Semi-Furnished,Bachelors,1
2,15000,1400,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,3
1,7000,600,Kacharakanahalli,Bangalore,Unfurnished,Bachelors/Family,1
2,25000,770,Tumkur Road,Bangalore,Furnished,Bachelors/Family,2
2,17000,900,Babusahib Palya,Bangalore,Semi-Furnished,Family,2
1,7500,500,"Kumaraswamy Layout, Kumaraswamy Layout",Bangalore,Furnished,Bachelors/Family,1
2,15000,1100,Nri Layout,Bangalore,Unfurnished,Bachelors/Family,2
1,7500,500,"Balaji Layout -Hongasandra, Hongasandra",Bangalore,Semi-Furnished,Bachelors/Family,1
3,25000,1260,Vijaya Bank Layout,Bangalore,Furnished,Bachelors/Family,3
3,54000,1750,"Jaya Nagar Block 1, Jayanagar",Bangalore,Semi-Furnished,Bachelors/Family,3
1,14500,600,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,1
1,4500,450,Nelamangala,Bangalore,Semi-Furnished,Bachelors/Family,1
2,10500,800,Yelahanka New Town,Bangalore,Semi-Furnished,Bachelors/Family,1
1,5500,400,Hongasandra,Bangalore,Unfurnished,Bachelors/Family,1
2,16000,600,Girinagar,Bangalore,Unfurnished,Bachelors,2
1,7000,400,T Dasarahalli,Bangalore,Unfurnished,Bachelors/Family,1
2,12500,900,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,2
2,10000,1200,Jogupalya,Bangalore,Semi-Furnished,Bachelors/Family,1
2,18000,1045,Maruthi Sevanagar,Bangalore,Semi-Furnished,Bachelors,2
3,28000,1021,"Balaji Gardens Layout, Gottigere",Bangalore,Furnished,Bachelors,3
3,12000,1200,in Bannerghatta Road,Bangalore,Unfurnished,Bachelors/Family,2
2,13000,1000,"Electronic City Phase 2, Electronic City",Bangalore,Unfurnished,Bachelors/Family,1
2,50000,1280,Hebbal,Bangalore,Furnished,Bachelors/Family,2
1,7000,450,Jalahalli East,Bangalore,Semi-Furnished,Bachelors/Family,1
2,30000,450,"Garebhavipalya, Hongasandra, Hosur Road",Bangalore,Unfurnished,Bachelors/Family,2
1,10000,600,Btm Layout Stage 4,Bangalore,Semi-Furnished,Bachelors/Family,2
2,15000,800,Konanakunte,Bangalore,Semi-Furnished,Bachelors/Family,2
1,7500,500,Basaveshwar Nagar,Bangalore,Unfurnished,Bachelors/Family,1
3,45000,1680,"Jp Nagar Phase 7, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,3
3,65000,2000,Hebbal,Bangalore,Semi-Furnished,Bachelors,3
1,12000,500,Koramangala Block 4,Bangalore,Semi-Furnished,Bachelors,1
1,7000,500,"Aecs Layout-Singasandra, Singasandra, Hosur Road",Bangalore,Semi-Furnished,Bachelors,1
1,9000,800,Mahadevapura,Bangalore,Unfurnished,Bachelors/Family,1
2,23000,1100,Banaswadi,Bangalore,Semi-Furnished,Family,2
2,30000,1200,"Kalasipalyam, Kalasipalyam",Bangalore,Semi-Furnished,Bachelors/Family,2
1,8000,500,"Tilak Nagar, Jayanagar, bannerghatta main Road",Bangalore,Unfurnished,Bachelors/Family,1
2,16000,1155,K R Puram,Bangalore,Semi-Furnished,Family,2
1,7500,440,Electronic City,Bangalore,Semi-Furnished,Bachelors/Family,1
2,20000,1040,Sarjapur Road,Bangalore,Semi-Furnished,Bachelors/Family,2
3,30000,1200,Nagondanahalli,Bangalore,Semi-Furnished,Bachelors/Family,2
3,20000,1600,"Isro Layout, Kumaraswamy Layout",Bangalore,Semi-Furnished,Family,3
4,84000,3150,Banashankari,Bangalore,Unfurnished,Bachelors,4
2,17000,1000,JAR Shikara,Bangalore,Semi-Furnished,Bachelors/Family,2
2,15000,1200,Medahalli,Bangalore,Semi-Furnished,Bachelors/Family,2
1,6000,400,"Electronic City Phase 2, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,1
2,16000,950,Ramamurthy Nagar,Bangalore,Furnished,Bachelors/Family,3
2,9500,530,Byatarayanapura,Bangalore,Semi-Furnished,Bachelors/Family,1
1,8000,300,"Udayanagar Extension, Mahadevapura",Bangalore,Unfurnished,Bachelors/Family,1
2,15000,1000,"Dwarka Nagar, Kattigenahalli",Bangalore,Semi-Furnished,Bachelors/Family,2
1,12000,450,Btm Layout,Bangalore,Unfurnished,Bachelors/Family,1
1,10000,600,"Jeevan Bima Nagar, Airport Road",Bangalore,Semi-Furnished,Bachelors,1
2,16000,1100,"Jaya Nagar Block 7, Jayanagar",Bangalore,Unfurnished,Bachelors/Family,2
1,11000,400,Chamrajpet,Bangalore,Unfurnished,Bachelors/Family,1
2,11000,700,"Hosa Road, off Hosur Road",Bangalore,Unfurnished,Bachelors/Family,2
2,20000,1105,"Electronics City Phase 1, Electronic City",Bangalore,Semi-Furnished,Bachelors/Family,2
3,24000,1430,Subramanyapura,Bangalore,Semi-Furnished,Bachelors/Family,2
2,14500,850,K R Puram,Bangalore,Semi-Furnished,Bachelors/Family,2
1,4000,650,Byatarayanapura,Bangalore,Unfurnished,Bachelors/Family,1
2,12000,1200,Kempapura Agrahara,Bangalore,Unfurnished,Bachelors/Family,2
2,8500,600,Vijayanagar,Bangalore,Unfurnished,Bachelors/Family,2
1,9000,400,Munnekollal,Bangalore,Semi-Furnished,Bachelors/Family,1
2,10500,1100,"Ananda Puram, Jeevan Bima Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2
2,12000,900,"Electronic City Phase 2, Electronic City",Bangalore,Unfurnished,Bachelors,2
3,32000,1300,"Hrbr Layout, Kalyan Nagar, Outer Ring Road",Bangalore,Semi-Furnished,Bachelors/Family,2
2,15000,1000,Horamavu kelkkeri road,Bangalore,Semi-Furnished,Bachelors/Family,3
3,21000,1000,"Vishweshwaraiah Layout, Annapurneshwari Nagar",Bangalore,Furnished,Bachelors/Family,3
2,12000,900,Babusapalya,Bangalore,Unfurnished,Bachelors/Family,2
1,7000,800,Babusapalya,Bangalore,Unfurnished,Bachelors/Family,1
2,15000,750,Hutchins Road,Bangalore,Unfurnished,Bachelors/Family,2
2,11400,1100,Nisarga capital appartment,Bangalore,Unfurnished,Bachelors,2
2,15000,1200,"Jp Nagar Phase 1, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2
2,19000,1000,"Rbi Layout, J P Nagar",Bangalore,Semi-Furnished,Bachelors/Family,2
2,27000,1000,"Hbr Layout Block 4, HBR Layout",Bangalore,Semi-Furnished,Bachelors,2
3,48000,2000,Frazer Town,Bangalore,Semi-Furnished,Bachelors/Family,3
1,7000,550,Chikkalasandra,Bangalore,Semi-Furnished,Bachelors/Family,1
2,15000,1130,whitefield,Bangalore,Unfurnished,Family,2
2,10000,600,Abbigere,Bangalore,Semi-Furnished,Bachelors/Family,2
1,7000,100,Chikkabanavara,Bangalore,Semi-Furnished,Bachelors/Family,1
2,9000,500,"Meenakshi Layout, Kengeri",Bangalore,Semi-Furnished,Bachelors/Family,1
1,8000,600,Rajajinagar,Bangalore,Unfurnished,Bachelors/Family,1
2,35000,1200,Mahatma Gandhi Road,Bangalore,Semi-Furnished,Bachelors,2
2,16000,850,Bilekahalli,Bangalore,Semi-Furnished,Bachelors/Family,2
